"id","Size","color"
"art collectors","0.487","#505066"
"fine art fans","0.452","#505066"
"impulsive shoppers","0.441","#505066"
"museum visitors","0.424","#505066"
"art aficionados","0.424","#505066"
"fingerpainting fans","0.381","#505066"
"pottery fans","0.377","#505066"
"ceramic fans","0.377","#505066"
"coin collectors","0.373","#505066"
"art fans","0.368","#505066"
"art aficionados- learning more","0.368","#505066"
"art and theatre fans","0.368","#505066"
"book collectors","0.367","#505066"
"sculpting fans","0.363","#505066"
"china interested","0.362","#690000"
"painting fans","0.355","#505066"
"home design fans- feng shui","0.354","#505066"
"elegant calligraphers","0.353","#505066"
"aspiring artists","0.352","#505066"
"art and photography books readers","0.352","#505066"
"trade fair businessmen","0.348","#690000"
"sports memorabilia collectors","0.346","#505066"
"chinese cuisine fans","0.33","#505066"
"tai chi practitioners","0.328","#505066"
"professional artists","0.327","#505066"
"religious devotees- buddhism","0.321","#505066"
"diorama creators","0.32","#505066"
"archaeology buffs","0.319","#505066"
"basketball fans- attendees","0.318","#505066"
"history buffs","0.31","#505066"
"crystal collectors","0.309","#505066"
"miniature art fans","0.308","#505066"
"doll collectors","0.307","#505066"
"home design fans- tableware","0.307","#505066"
"bonsai tree growers","0.306","#505066"
"jewellery makers","0.306","#505066"
"curators and museum staff","0.306","#505066"
"sketching fans","0.303","#505066"
"furniture builders","0.301","#505066"
"asia interested","0.3","#690000"
"kung fu practitioners","0.298","#505066"
"hong kong interested","0.298","#690000"
"tapestry creators","0.298","#505066"
"drawing fans","0.29","#505066"
"cartier fans","0.29","#505066"
"mahjong players","0.289","#505066"
"luxury jewellery buyers- female","0.288","#505066"
"baseball fans","0.287","#505066"
"history book readers","0.285","#690000"
"home design fans- decorating","0.285","#505066"
"home design fans- interior design","0.285","#505066"
"home design fans","0.285","#505066"
"emilio pucci fans","0.285","#505066"
"isabel marant fans","0.283","#505066"
"luxury accessory wearers- female","0.283","#505066"
"glassblowing gurus","0.283","#505066"
"home design fans- paint","0.282","#505066"
"japanese cuisine fans","0.281","#505066"
"swarovski fans","0.278","#505066"
"wood carving artists","0.276","#505066"
"kitchen upgraders- kitchen furniture","0.275","#505066"
"tiffany & co. fans","0.274","#505066"
"home design fans- dining room furniture","0.274","#505066"
