"id","Size","color"
"time poor people",0.531193301402031,"#690000"
"dieters- paleo",0.464811791267938,"#690000"
"british cuisine fans",0.437955114024768,"#690000"
"on the pulse- food industry",0.43646661388822,"#690000"
"african cuisine fans",0.42651577760982,"#690000"
"home upgraders- cooking ranges & stoves",0.390475108566853,"#690000"
"socialisers- home entertaining",0.389429640556948,"#690000"
"asian cuisine fans",0.386640402006138,"#690000"
"russian/eastern european cuisine fans",0.378872637359562,"#690000"
"foodies",0.377705154362822,"#690000"
"foragers",0.377360484281153,"#690000"
"on the shopping list- condiments & sauces",0.371204509038369,"#690000"
"greek cuisine fans",0.367358349545802,"#690000"
"adventurous eaters",0.367240929127315,"#690000"
"constantly occupied",0.364496919592567,"#690000"
"dieters- keto",0.361843176044473,"#690000"
"on the shopping list- organic food",0.358657272600134,"#690000"
"brand trialers",0.352310853276547,"#690000"
"home upgraders- other kitchen appliance accessories",0.3511819959649,"#690000"
"restaurant enthusiasts",0.350876655686653,"#690000"
"gardening fans- guerrilla gardening",0.3503760298287,"#690000"
"quick meals",0.35,"#690000"
"scandinavian cuisine fans",0.346047495872193,"#690000"
"food, drink and cooking show fans",0.343144991557565,"#690000"
"food, drink and cooking show fans",0.343144991557565,"#690000"
"food, drink and cooking show fans",0.343144991557565,"#690000"
"on the shopping list- crisps",0.342837405854523,"#690000"
"dieters- food supplements",0.342398023042818,"#690000"
"fast food fans",0.339538658078746,"#690000"
"vegetable farming fans",0.338289699691233,"#690000"
"cooking enthusiasts",0.336642598934008,"#690000"
"child fashion",0.334906946935201,"#690000"
"spanish cuisine fans",0.331701351614216,"#690000"
"cooking enthusiasts- recipe inspiration",0.329317964428095,"#690000"
"snackers",0.329136190471294,"#690000"
"large pet owners",0.32630103766795,"#690000"
"known brand prioritisers",0.324614006384584,"#690000"
"convenience seekers",0.323951894675043,"#690000"
"convenience seekers",0.323951894675043,"#690000"
"italian cuisine fans",0.319544857583773,"#690000"
"vegetarians",0.317521115285198,"#690000"
"indian cuisine fans",0.317178065206535,"#690000"
"fitness fans",0.314043832068777,"#690000"
"healthy living- nutrition",0.312487253023593,"#690000"
"on the shopping list- vegetarian food",0.312375999018029,"#690000"
"progressive parents",0.308598540529743,"#690000"
"healthy eaters",0.308163215145902,"#690000"
"american cuisine fans",0.308135834027674,"#690000"
"gardening fans- herb keeping",0.305996135165739,"#690000"
"time management pros",0.305388329771942,"#690000"
"cooking enthusiasts- cookware & bakeware",0.303808914752025,"#690000"
"fitness fans- cardio",0.302878211382175,"#690000"
"on the shopping list- vegan food",0.301446084798004,"#690000"
"on the shopping list- pizza",0.301032533361693,"#690000"
"budgeting masters",0.299804295451949,"#690000"
"lifelong learners",0.298476296575455,"#690000"
"lifelong learners",0.298476296575455,"#690000"
"experience seeker - diners",0.297758657959773,"#690000"
"picnic lovers",0.294846348616336,"#690000"
"japanese cuisine fans",0.29480776419063,"#690000"
"vegans",0.294096037999327,"#690000"
"on the shopping list- tarts & sweet treats",0.293591852379273,"#690000"
"supermarket regulars",0.293208198518905,"#690000"
"cookbook readers",0.291586450174126,"#690000"
"on the shopping list- seafood",0.291225134906977,"#690000"
"active day trippers",0.289789434143096,"#690000"
"on the shopping list- biscuit",0.288625035166016,"#690000"
"ethics thinkers",0.288355619506695,"#690000"
"fitness fans- jumping rope",0.28703297366459,"#690000"
"snowshoeing enthusiasts",0.284268637666926,"#690000"
"powerpoint pros",0.28324312691721,"#690000"
"kitchen upgraders- kitchen furniture",0.282645967702184,"#690000"
"on the shopping list- bread",0.282277960997069,"#690000"
"pre-school families",0.281897118418287,"#690000"
"anniversary celebrators",0.280235004079353,"#690000"
"science and nature show fans",0.280120090021818,"#8B0000"
"science and nature show fans",0.280120090021818,"#8B0000"
"science and nature show fans",0.280120090021818,"#8B0000"
"science and nature show fans",0.280120090021818,"#8B0000"
"intensive research shoppers",0.27945548548222,"#8B0000"
"healthy living- wellness",0.279186473408112,"#8B0000"
"reference readers",0.278271391050295,"#8B0000"
"social studies minds",0.276086981295681,"#8B0000"
"home upgraders- refrigerators",0.275852457950681,"#8B0000"
"fungi study devotees",0.27580660424301,"#8B0000"
"domestic holidayers",0.275304265161885,"#8B0000"
"baby & toddler food",0.27514848270373,"#8B0000"
"baby & toddler food",0.27514848270373,"#8B0000"
"photography fans",0.27501724113415,"#8B0000"
"pet owners- finding the right food",0.27450603565461,"#8B0000"
"infotainment readers",0.274346784083697,"#8B0000"
"chinese cuisine fans",0.273334554272835,"#8B0000"
"on the shopping list- cheese & cheesemaking",0.273198474580368,"#8B0000"
"the uk interested",0.273022161479954,"#8B0000"
"german cuisine fans",0.272969072594183,"#8B0000"
"on the shopping list- juice",0.270528056467949,"#8B0000"
"magazine addicts",0.270277051213688,"#8B0000"
"home upgraders- microwaves",0.269710167922607,"#8B0000"
"subscription box members",0.269530872240206,"#8B0000"
"on the shopping list- bbq products",0.269425170562056,"#8B0000"
"training experts",0.26925228489743,"#8B0000"
"middle eastern cuisine fans",0.267944363786817,"#8B0000"
"keen bbqers",0.267197920836504,"#8B0000"
"travel buffs",0.26669483886712,"#8B0000"
"home renovators",0.265526145546154,"#8B0000"
"family time focussed",0.264122574204922,"#8B0000"
"new baby preppers- feeding",0.264003257128202,"#8B0000"
"on the pulse- media industry",0.26355778928513,"#8B0000"
"mexican cuisine fans",0.263245212313017,"#8B0000"
"healthy living- alternative medicine",0.262075054821489,"#8B0000"
"healthy living- holistic health",0.262075054821489,"#8B0000"
"caffeine addicts",0.262027564773771,"#8B0000"
"mycology enthusiasts",0.260931393917011,"#8B0000"
"casual restaurant fans",0.260384810137101,"#8B0000"
"new car buyers",0.259966653475457,"#8B0000"
"strategic thinkers",0.258342659209504,"#8B0000"
"sled dog racing fans",0.258305394683994,"#8B0000"
"french cuisine fans",0.257918495201123,"#8B0000"
"ex-pats",0.257533148372522,"#8B0000"
"reviewing outgoings- gas and electric",0.257219319808288,"#8B0000"
"pet dog owners",0.256337011433468,"#8B0000"
"new pet owners",0.256070944796091,"#8B0000"
"pursuing personal development- self improvement",0.256058825795761,"#8B0000"
"pursuing personal development- mindfulness",0.255331516662011,"#8B0000"
"ambitious individuals",0.254470100169597,"#8B0000"
"photoshop artists",0.254230731176406,"#8B0000"
"religious devotees",0.25397287806988,"#8B0000"
"home movers- settling in",0.25390467570791,"#8B0000"
"crossover owners",0.252991462279774,"#8B0000"
"religious devotees- judaism",0.252872659523811,"#8B0000"
"creative thinkers",0.252626399210019,"#8B0000"
"latin american cuisine fans",0.251365079963582,"#8B0000"
"exhibition attendees",0.250438552521326,"#8B0000"
"rockhounding fans",0.250206310434246,"#8B0000"
"mazda fans",0.249598631585832,"#8B0000"
"on the shopping list- crackers",0.249526650181133,"#8B0000"
"vietnamese cuisine fans",0.249459569209271,"#8B0000"
"health and fitness show fans",0.249416971154981,"#8B0000"
"health and fitness show fans",0.249416971154981,"#8B0000"
"health and fitness show fans",0.249416971154981,"#8B0000"
"health and fitness show fans",0.249416971154981,"#8B0000"
"puzzle hobbyists- memory training",0.248928857478079,"#8B0000"
"home movers- buying a new home",0.247829358999243,"#8B0000"
"curling enthusiasts",0.247165014505069,"#8B0000"
"presentation masters",0.247128172629939,"#8B0000"
"healthy living- children's health",0.24709390917485,"#8B0000"
"dieters- weight loss",0.246309636299095,"#8B0000"
"life science enthusiasts",0.245427952494588,"#8B0000"
"social media enthusiasts",0.24486863701546,"#8B0000"
"social media enthusiasts",0.24486863701546,"#8B0000"
"home design fans- storage & shelving",0.244576687996651,"#A50F15"
"home upgraders- dishwashers",0.244178752652645,"#A50F15"
"baby & toddler entertainment",0.244087406171053,"#A50F15"
"baby & toddler entertainment",0.244087406171053,"#A50F15"
"outdoor adventurers- campers",0.243885343220521,"#A50F15"
"pet owners- in need of supplies",0.243812662837347,"#A50F15"
"puzzle hobbyists- sudoku",0.24373796624368,"#A50F15"
"orienteering experts",0.243563655366391,"#A50F15"
"gardening fans- planting & horticulture",0.243201642456696,"#A50F15"
"home-from-home holidayers",0.242068780452873,"#A50F15"
"culturally curious",0.241724069661023,"#A50F15"
"korean cuisine fans",0.241467603700264,"#A50F15"
"education enthusiasts",0.241210600499309,"#A50F15"
"digital art fans",0.240973385958638,"#A50F15"
"fitness fans- physical exercise",0.240967346889035,"#A50F15"
"job hunters- career change",0.239883315758376,"#A50F15"
"software experts- databases",0.238800875811679,"#A50F15"
"inspiration hunters",0.238586504934622,"#A50F15"
"outdoor adventurers- national parks",0.238461937726989,"#A50F15"
"asia interested",0.238193399783903,"#A50F15"
"pet owners",0.238110886885894,"#A50F15"
"home design fans- fireplaces",0.238056842215959,"#A50F15"
"dominoes players",0.23800821946273,"#A50F15"
"cooking enthusiasts- breadmaking equipment",0.237117662105504,"#A50F15"
"sledding fans",0.237033975908593,"#A50F15"
"jeans wearers",0.236968605876618,"#A50F15"
"kitchen upgraders- kitchen & bathroom cabinets",0.236740482102599,"#A50F15"
"thru-hiking enthusiasts",0.23576941751674,"#A50F15"
"kitchen upgraders- refrigerator accessories",0.234845655234985,"#A50F15"
"on the shopping list- cookies",0.234754330710851,"#A50F15"
"gardening fans- composting",0.234477955478903,"#A50F15"
"clinical medicine scholars",0.234270179481622,"#A50F15"
"botanists",0.233967595552216,"#A50F15"
"home upgraders- freezers",0.233927229104828,"#A50F15"
"gardening fans- houseplants",0.233771930802324,"#A50F15"
"streaming media connoisseurs",0.232840119648883,"#A50F15"
"streaming media connoisseurs",0.232840119648883,"#A50F15"
"streaming media connoisseurs",0.232840119648883,"#A50F15"
"streaming media connoisseurs",0.232840119648883,"#A50F15"
"streaming media connoisseurs",0.232840119648883,"#A50F15"
"wedding gift buyers",0.232536855559183,"#A50F15"
"music fans",0.23174261327689,"#A50F15"
"music fans",0.23174261327689,"#A50F15"
"fitness fans- cross trainers",0.231260134718974,"#A50F15"
"educational radio listeners",0.230519006152281,"#A50F15"
"media & communication buffs",0.230244587737441,"#A50F15"
"fruit picking enthusiasts",0.230185185486987,"#A50F15"
"thai cuisine fans",0.229905454441082,"#A50F15"
"savvy savers",0.228807362181238,"#A50F15"
"aspiring multi-linguists",0.228340165789068,"#A50F15"
"documentary film fans",0.227763118054511,"#A50F15"
"healthy living- herbs and supplements",0.22775083364295,"#A50F15"
"cooking enthusiasts- mixer & blender accessories",0.226483111671127,"#A50F15"
"dog owners",0.225976233363245,"#A50F15"
"holiday planners- travel books",0.225848954706334,"#A50F15"
"education science advocates",0.225654206886059,"#A50F15"
"miniature art fans",0.225596372771563,"#A50F15"
"on the shopping list- chocolate",0.225173872319007,"#A50F15"
"board games players",0.224275966665642,"#A50F15"
"in the honeymoon period",0.223802327837232,"#A50F15"
"pet owners- in need of sitters",0.223647924177518,"#A50F15"
"folk music fans",0.223490819491628,"#A50F15"
"folk music fans",0.223490819491628,"#A50F15"
"iceland interested",0.223430830826476,"#A50F15"
"card games players",0.223418535019956,"#A50F15"
"sociology thinkers",0.222590113794641,"#A50F15"
"pre-owned car buyers",0.222361853064693,"#A50F15"
"home renovators- remodelling",0.222284994049361,"#A50F15"
"health science buffs",0.222129010533791,"#A50F15"
"smart home enthusiasts",0.222064308481241,"#A50F15"
"painting fans",0.221836364105737,"#A50F15"
"japan interested",0.22145195004639,"#A50F15"
"video producers",0.220949638512224,"#A50F15"
"on the shopping list- coffee roasting",0.220824064144951,"#A50F15"
"autobiography readers",0.220792561866585,"#A50F15"
"skills-based training supporters",0.22025066922441,"#B2182B"
"jazz music fans",0.220070481772829,"#B2182B"
"jazz music fans",0.220070481772829,"#B2182B"
"on the shopping list- wine",0.219891307878093,"#B2182B"
"environmental advocates",0.219879642365876,"#B2182B"
"no fuss holiday fans",0.219663564614532,"#B2182B"
"fostering families",0.219640744760455,"#B2182B"
"business strategists",0.219634094375296,"#B2182B"
"home design fans- lights & fixtures",0.219454883500324,"#B2182B"
"scouting members",0.219200929025979,"#B2182B"
"health concerned- sexual health",0.218993296704098,"#B2182B"
"ott show binge-watchers",0.218700118706486,"#B2182B"
"ott show binge-watchers",0.218700118706486,"#B2182B"
"ott show binge-watchers",0.218700118706486,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"documentary fans",0.218669953569625,"#B2182B"
"animal rights campaigners",0.218534896876456,"#B2182B"
"historical attraction fans",0.218363104015521,"#B2182B"
"on the pulse- entertainment industry",0.217952269527536,"#B2182B"
"privacy prioritisers",0.217636432504763,"#B2182B"
"skiing lovers",0.217093082731817,"#B2182B"
"special day preparation- fireworks",0.217044218050168,"#B2182B"
"animal and nature lovers",0.216544042746071,"#B2182B"
"orienteering experts",0.216501026992348,"#B2182B"
