"id","Size","color"
"luxury inspiration",NA,"#690000"
"culturally curious",NA,"#690000"
"business travellers",NA,"#690000"
"quality seekers",NA,"#690000"
"high end cruises",NA,"#690000"
"travel buffs",NA,"#690000"
"adventure travellers",NA,"#690000"
"cruises interested",NA,"#690000"
"holiday planners- online reviews",NA,"#690000"
"luxury shoppers",NA,"#690000"
"luxury investments",NA,"#690000"
"independent spirits",NA,"#690000"
"luxury hobbyists",NA,"#690000"
"impending travellers",NA,"#690000"
"couture fashion",NA,"#690000"
"sisley fans",NA,"#690000"
"moynat fans",NA,"#690000"
"family holidayers",NA,"#690000"
"backpackers",NA,"#690000"
"young upwardly mobile",NA,"#690000"
"europe interested",NA,"#690000"
"on the pulse- advertising industry",NA,"#690000"
"honeymooners",NA,"#690000"
"known brand prioritisers",NA,"#690000"
"thru-hiking enthusiasts",NA,"#690000"
"trend setters",NA,"#690000"
"ex-pats",NA,"#690000"
"hotel comfort",NA,"#690000"
"financial planners - retirement planning",NA,"#690000"
"domestic holidayers",NA,"#690000"
"magazine addicts",NA,"#690000"
"active day trippers",NA,"#690000"
"no fuss holiday fans",NA,"#690000"
"rafting adventurers",NA,"#690000"
"5* hotel luxury",NA,"#690000"
"organizational gurus",NA,"#690000"
"boating aficionados",NA,"#690000"
"distance travellers",NA,"#690000"
"home-from-home holidayers",NA,"#690000"
"style minded- luggage",NA,"#690000"
"executive car buyers",NA,"#690000"
"budget travellers",NA,"#690000"
"arts and culture show fans",NA,"#690000"
"financial planners - travel insurance",NA,"#690000"
"scuba diving enthusiasts",NA,"#690000"
"chopard fans",NA,"#690000"
"polar travel interested",NA,"#690000"
"unique product prioritisers",NA,"#690000"
"holiday planners- travel books",NA,"#690000"
"luxury bag and wallet buyers- male",NA,"#690000"
"diving devotees",NA,"#690000"
"global affairs enthusiasts",NA,"#690000"
"cartier fans",NA,"#690000"
"rail travellers",NA,"#690000"
"bvlgari fans",NA,"#690000"
"on-the-pulse fashionistas",NA,"#690000"
"mainstream bag and wallet buyers- male",NA,"#690000"
"city breakers",NA,"#690000"
"a.p.c. fans",NA,"#690000"
"on the pulse- media industry",NA,"#690000"
"media & communication buffs",NA,"#690000"
"chow tai fook fans",NA,"#690000"
"special day preparation- even planning",NA,"#690000"
"luxury glasses wearers",NA,"#690000"
"monarchists",NA,"#690000"
"luxury neighbourhoods",NA,"#690000"
"the uk interested",NA,"#690000"
"recently retired",NA,"#690000"
"risk takers",NA,"#690000"
"oscar de la renta fans",NA,"#690000"
"street style",NA,"#690000"
"sustainability champions",NA,"#690000"
"traditionalists",NA,"#690000"
"uk interested",NA,"#690000"
"dedicated walkers",NA,"#690000"
"camper van fans",NA,"#8B0000"
"rest and relaxation prioritisers",NA,"#8B0000"
"plane enthusiasts",NA,"#8B0000"
"iceland interested",NA,"#8B0000"
"celine fans",NA,"#8B0000"
"tag heuer fans",NA,"#8B0000"
"business strategists",NA,"#8B0000"
