"id","Size","color"
"comfortable retirement",0.370168928496622,"#690000"
"healthy living- senior health",0.33329228334689,"#690000"
"soon to retire",0.289863830548071,"#690000"
"recently retired",0.284701126236919,"#690000"
"training experts",0.23242673543276,"#690000"
"health concerned- diabetes",0.223286793814921,"#690000"
"retirees",0.213950719892212,"#690000"
"philanthropists",0.186018588777566,"#690000"
"summer olympics fans",0.18223484869217,"#690000"
"health concerned- cancer",0.18091735555684,"#690000"
"pickleball players",0.179055732691397,"#690000"
"dedicated walkers",0.173483213000672,"#690000"
"puzzle hobbyists- memory training",0.173264060009766,"#690000"
"health concerned- injuries",0.164186260376522,"#690000"
"health concerned- heart and cardiovascular diseases",0.163910337704196,"#690000"
"hypochondriacs",0.1591636284304,"#690000"
"healthy living- wellness",0.158449848648672,"#690000"
"constantly occupied",0.158436762742692,"#690000"
"fitness fans- cross trainers",0.158003287332111,"#690000"
"traditionalists",0.155080671320792,"#690000"
"healthy eaters",0.152242163563954,"#690000"
"health concerned- brain and nervous system disorders",0.152074793160935,"#690000"
"time poor people",0.151118792153293,"#690000"
"health concerned- endocrine and metabolic diseases",0.151116949414899,"#690000"
"fitness fans- jogging",0.15,"#690000"
"fitness fans- running",0.143134000906399,"#690000"
"health concerned- medical tests",0.142817761584323,"#690000"
"long-distance runners",0.142569797466004,"#690000"
"garden living enthusiasts- landscaping",0.142357782363085,"#690000"
"health concerned- lung and respiratory health",0.139138948859023,"#690000"
"gardening fans",0.138739097360287,"#690000"
"time management pros",0.137611485046042,"#690000"
"veteran supporters",0.134825491670912,"#690000"
"health concerned- foot health",0.134084376947019,"#690000"
"health and fitness show fans",0.133855292743768,"#690000"
"health and fitness show fans",0.133855292743768,"#690000"
"health and fitness show fans",0.133855292743768,"#690000"
"health and fitness show fans",0.133855292743768,"#690000"
"health concerned- endocrine",0.133590665133819,"#690000"
"healthy living- nutrition",0.131603670505069,"#690000"
"on the shopping list- biscuit",0.131571689329566,"#690000"
"health concerned- eye and vision conditions",0.131567055723443,"#690000"
"croquet players",0.131089323385656,"#690000"
"iceboat racing fans",0.130969876416016,"#690000"
"pet dog owners",0.130002462114707,"#690000"
"mentoring experts",0.127978634412101,"#690000"
"health concerned- bone and joint conditions",0.127763528836319,"#690000"
"divorcees",0.127708062632715,"#690000"
"trail hikers",0.127417128666186,"#690000"
"healthy living- smoking cessation",0.126996880024194,"#690000"
"puzzle hobbyists- crossword puzzles",0.126436032224689,"#690000"
"snowshoeing enthusiasts",0.125507137113435,"#690000"
"faith-based show fans",0.125373617202179,"#690000"
"faith-based show fans",0.125373617202179,"#690000"
"swimming devotees",0.124037941102926,"#690000"
"budgeting masters",0.123964346287163,"#690000"
"healthy living- physical therapy",0.123836388053742,"#690000"
"birdwatching buffs",0.123101576787659,"#690000"
"health concerned- pharmaceutical drugs",0.121831252568412,"#690000"
"fitness fans",0.118807719193173,"#690000"
"fitness fans- gyms & athletic clubs",0.118700530241774,"#690000"
"skills-based training supporters",0.118578921471431,"#690000"
"clinical medicine scholars",0.117892938099644,"#690000"
"oldies music fans",0.117796606227565,"#690000"
"oldies music fans",0.117796606227565,"#690000"
"tennis lovers",0.116880846432288,"#690000"
"health concerned- surgery",0.116823917005771,"#690000"
"topiary enthusiasts",0.116766796516893,"#690000"
"winter olympics fans",0.115990318494806,"#690000"
"tv news fans",0.115155279311815,"#690000"
"tv news fans",0.115155279311815,"#690000"
"family history buffs",0.112737594169639,"#690000"
"birthday celebrators",0.11255605653841,"#690000"
"domestic holidayers",0.110329891075945,"#690000"
"dieters- paleo",0.110224413707684,"#690000"
"game show fans",0.109698624130594,"#8B0000"
"station wagon owners",0.108374905857401,"#8B0000"
"health concerned- hair loss",0.108285998508693,"#8B0000"
"puzzle hobbyists- sudoku",0.108229479809734,"#8B0000"
"tai chi practitioners",0.108122447997463,"#8B0000"
"on the pulse- food industry",0.107438891778741,"#8B0000"
"charity givers",0.107404253756429,"#8B0000"
"bus travellers",0.107164228582313,"#8B0000"
"bridge players",0.106984372093168,"#8B0000"
"golf enthusiasts",0.106802162538807,"#8B0000"
"gardening fans- lawn care",0.10596693573499,"#8B0000"
"health concerned- hormonal disorders",0.105867668145406,"#8B0000"
"fitness fans- exercise equipment",0.10574791622878,"#8B0000"
"gardening fans- hands on landscapers",0.104362199716452,"#8B0000"
"lifelong learners",0.103404667624644,"#8B0000"
"lifelong learners",0.103404667624644,"#8B0000"
"pursuing personal development- mindfulness",0.102683292633204,"#8B0000"
"active day trippers",0.102521133017438,"#8B0000"
"snackers",0.102405777933903,"#8B0000"
"charity and giving advocates",0.102070108786938,"#8B0000"
"travel buffs",0.102041460751593,"#8B0000"
"pursuing personal development- meditation",0.101984516846445,"#8B0000"
"large pet owners",0.101873904718131,"#8B0000"
"shuffleboard players",0.101051521742722,"#8B0000"
"financial planners - travel insurance",0.100803162957949,"#8B0000"
"curling enthusiasts",0.100584287093091,"#8B0000"
"barbershop music fans",0.100250514943037,"#8B0000"
"healthy living- herbs and supplements",0.0975660602372674,"#8B0000"
"british cuisine fans",0.0972244061010379,"#8B0000"
"dieters- food supplements",0.0971119055554247,"#8B0000"
"radio tuners",0.0969024565209452,"#8B0000"
"magazine addicts",0.0962241132974968,"#8B0000"
"home and garden show fans",0.0950823947962303,"#8B0000"
"fitness fans- cardio",0.094136189818528,"#8B0000"
"daily newspaper readers",0.0941277904553832,"#8B0000"
