"id","Size","color"
"on the shopping list- coffee",0.8,"#690000"
"quality seekers",0.722636222306521,"#690000"
"coffee connoisseurs- coffee maker & espresso machine accessories",0.709155139326166,"#690000"
"on the shopping list- coffee roasting",0.657219330834591,"#690000"
"caffeine addicts",0.637623397355703,"#690000"
"known brand prioritisers",0.595678936340762,"#690000"
"experience seeker - coffeehouses",0.564332616833244,"#690000"
"fair trade prioritisers",0.564167316444517,"#690000"
"on the shopping list- tea",0.524100600521242,"#690000"
"cooking enthusiasts- mixer & blender accessories",0.512799905994654,"#690000"
"couture fashion",0.500248003807822,"#690000"
"dieters- food supplements",0.498883470458069,"#690000"
"luxury shoppers",0.496084538318009,"#690000"
"on the shopping list- distilled beverages",0.478324851748207,"#690000"
"dieters- kombucha",0.456810742451315,"#690000"
"bvlgari fans",0.455917759022089,"#690000"
"african cuisine fans",0.454552179779273,"#690000"
"luxury glasses wearers",0.454337730447914,"#690000"
"duty-free shoppers",0.453990369033619,"#690000"
"on the shopping list- organic food",0.450465338881393,"#690000"
"home upgraders- other kitchen appliance accessories",0.446403244779621,"#690000"
"subscription box members",0.446087336717103,"#690000"
"on the shopping list- juice",0.44410379237179,"#690000"
"on the shopping list- wine",0.440457296606881,"#690000"
"prada fans",0.438143397012992,"#690000"
"moynat fans",0.437973614764515,"#690000"
"on the pulse- food industry",0.434787627335344,"#690000"
"brand trialers",0.433065565234973,"#690000"
"savvy savers",0.426351176751015,"#690000"
"on the shopping list- spirits",0.426049006691652,"#690000"
"supermarket regulars",0.423816903569305,"#690000"
"cooking enthusiasts- cookware & bakeware",0.422153039297294,"#690000"
"on the shopping list- chocolate",0.419237422809,"#690000"
"cartier fans",0.418584296269946,"#690000"
"pet owners- finding the right food",0.418242474677333,"#690000"
"dieters- keto",0.417397616260105,"#690000"
"salvatore ferragamo fans",0.416366956351188,"#690000"
"gifting preppers - gift baskets",0.414814456939297,"#690000"
"unique product prioritisers",0.412125992721274,"#690000"
"food, drink and cooking show fans",0.411108917477199,"#690000"
"on the shopping list- biscuit",0.407874876489442,"#690000"
"foodies",0.406590005713208,"#690000"
"healthy living- herbs and supplements",0.404758866504482,"#690000"
"privacy prioritisers",0.40375947530217,"#690000"
"home design fans- bedding",0.403107713813359,"#690000"
"large pet owners",0.401965944186936,"#690000"
"on the shopping list- cakes",0.401049080699454,"#690000"
"healthy eaters",0.399876669631695,"#690000"
"healthy living- nutrition",0.396487275491769,"#690000"
