"id","Size","color"
"rugby league fans",0.691941941978521,"#690000"
"rugby world cup fans",0.668557325317754,"#690000"
"rugby fans",0.66,"#690000"
"sports radio fans",0.499868793917342,"#690000"
"news junkies- sports stories",0.494715410071448,"#690000"
"nfl fans",0.465520780332668,"#690000"
"sports fans",0.444630412639144,"#690000"
"sport show fans",0.44041441093226,"#690000"
"aussie rules loyalists",0.431826797808105,"#690000"
"nations league fans",0.431098552180724,"#690000"
"nascar fans",0.429772389480416,"#690000"
"afl fans",0.426302866357778,"#690000"
"sports memorabilia collectors",0.420588703178439,"#690000"
"baseball fans",0.414979179472577,"#690000"
"sports players",0.413547506596504,"#690000"
"cricket fans",0.409760322268922,"#690000"
"horse racing lovers",0.402102875981449,"#690000"
"kabaddi enthusiasts",0.401788714433781,"#690000"
"american football fans",0.401520035012842,"#690000"
"cycling fans",0.400469506820291,"#690000"
"squash players",0.398396861520296,"#690000"
"snooker/pool/billiards players",0.395171662744451,"#690000"
"fifa world cup fans",0.391689934608325,"#690000"
"power 5 conferences fans",0.390210272720598,"#690000"
"college sports fans",0.389002016734894,"#690000"
"cricket world cup fans",0.385953070981416,"#690000"
"darts players",0.37902386139835,"#690000"
"audi fans",0.378162962496471,"#690000"
"powerboat racing fans",0.375621443491614,"#690000"
"experience seeker - sports events",0.37105297038056,"#690000"
"on the shopping list- beer",0.369347671908468,"#690000"
"mls fans",0.367931574697911,"#690000"
"sports players- equipment",0.36731941127362,"#690000"
"ncaa football lovers",0.363167858455953,"#690000"
"cornhole players",0.3624381796736,"#690000"
"european championships (football) fans",0.359336206274114,"#690000"
"billiards players",0.357828204778934,"#690000"
"turkish super ligue fans",0.346530767651717,"#690000"
"soccer fans",0.345722328660055,"#690000"
"premier league fans",0.343769099346975,"#690000"
"long-distance runners",0.337581041515383,"#690000"
"ncaa basketball devotees",0.337371516345507,"#690000"
"ice hockey fans",0.332726791486411,"#690000"
"beer tasting aficionados",0.332704297380961,"#690000"
"bowling players",0.329712850793934,"#690000"
"champions league fans",0.329075100423431,"#690000"
"go players",0.326667093579548,"#690000"
"economics thinkers",0.32586402005761,"#690000"
"surfing devotees",0.32550498506035,"#690000"
"rodeo devotees",0.324235364017714,"#690000"
"bicycle upgraders",0.323164167616434,"#690000"
"checkers players",0.321609905889366,"#690000"
"soccer fans- attendees",0.320303303375432,"#690000"
"fantasy sports players",0.318020407991569,"#690000"
"homebrewing experts",0.310953452588009,"#690000"
"diesel fans",0.309768157623139,"#690000"
"sled dog racing fans",0.309524579913962,"#690000"
"nippon baseball fans",0.309503873867529,"#690000"
"ligue 1 fans",0.309378588730643,"#690000"
"iceboat racing fans",0.308502304163909,"#690000"
"europa league fans",0.308312285487272,"#690000"
"under armour fans",0.306988687948671,"#690000"
"tv sports fans",0.306570960464056,"#690000"
"serie a fans",0.306429047268533,"#690000"
"freestyle football fans",0.30541082952685,"#690000"
"renault fans",0.304497264693672,"#690000"
"tennis polo fans",0.302264618260444,"#690000"
"skiing lovers",0.300859331591582,"#690000"
"fitness fans- exercise equipment",0.300249631010382,"#690000"
"wrestling fans",0.300191683595955,"#690000"
"experience seeker - pubs and bars",0.298147862899381,"#690000"
"experience seeker - online casinos & gambling",0.296469532357676,"#690000"
"extreme sports junkies",0.294746352241102,"#690000"
"subaru fans",0.294054075989956,"#690000"
"curling enthusiasts",0.29395817721581,"#690000"
"polo aficionados",0.293672542671523,"#8B0000"
"bundesliga fans",0.293199628297096,"#8B0000"
"motorcycle enthusiasts",0.292024323250089,"#8B0000"
"thrill seekers",0.291955547483944,"#8B0000"
"sports car buyers",0.291133392332699,"#8B0000"
"mountain climbing buffs",0.289927988489647,"#8B0000"
