"id","Size","color"
"high end cruises",0.7,"#690000"
"luxury hobbyists",0.441264270455589,"#690000"
"luxury neighbourhoods",0.387193195191855,"#690000"
"5* hotel luxury",0.364464263504716,"#690000"
"country club members",0.360749525824403,"#690000"
"wine tasting connoisseurs",0.354015124142214,"#690000"
"superlux locations",0.352291173909199,"#690000"
"luxury investments",0.332744194557979,"#690000"
"cruises interested",0.322158611386157,"#690000"
"quality seekers",0.300644071984477,"#690000"
"chopard fans",0.29986012167084,"#690000"
"luxury car buyers",0.298703541204554,"#690000"
"executive car buyers",0.266443833330677,"#690000"
"hotel comfort",0.262679876799972,"#690000"
"brunello cucinelli fans",0.261721984173978,"#690000"
"luxury glasses wearers",0.261279630034731,"#690000"
"loro piana fans",0.256543624088333,"#690000"
"financial planners - retirement planning",0.252606612932343,"#690000"
"couture fashion",0.25201415026663,"#690000"
"wine crafting connoisseurs",0.239164792662843,"#690000"
"opinion leaders",0.233080251443857,"#690000"
"financial planners - estate planning",0.230902926309436,"#690000"
"traditionalists",0.229320354643435,"#690000"
"luxury shoppers",0.22922370585773,"#690000"
"polar travel interested",0.228357183678939,"#690000"
"whale watching enthusiasts",0.225038361576538,"#690000"
"financial planners- house market",0.222945422374912,"#690000"
"travel buffs",0.220393537834878,"#690000"
"tag heuer fans",0.219702540151727,"#690000"
"financial planners",0.219174142883227,"#690000"
"business travellers",0.217991058264022,"#690000"
"bvlgari fans",0.215633714559364,"#690000"
"soon to retire",0.215330389752073,"#690000"
"moynat fans",0.214345012982854,"#690000"
"financial planners- interest rates",0.211766920631384,"#690000"
"lexus fans",0.209899507554854,"#690000"
"vacheron constantin fans",0.20786586084482,"#690000"
"convertible owners",0.205483479834107,"#690000"
"cartier fans",0.205048588282568,"#690000"
"polo aficionados",0.203272659895284,"#690000"
"leadership gurus",0.202011500402757,"#690000"
"mercedes-benz fans",0.20192349567605,"#690000"
"monarchists",0.201211982158377,"#690000"
"finance opinion leaders",0.200940247207012,"#690000"
"financial planners- mitigating crisis",0.200930825036042,"#690000"
"bottega veneta fans",0.198002767140599,"#690000"
"tissot fans",0.196078656655976,"#690000"
"station wagon owners",0.195627040652573,"#690000"
"rolex fans",0.195624320189395,"#690000"
"financial planners- financial regulation",0.194244915625047,"#690000"
"financial planners - auto insurance",0.193336545551014,"#690000"
"high end skiiers",0.192983224792468,"#690000"
"active historians",0.191547677330007,"#690000"
"luxury bath & body product prioritisers",0.190276600502746,"#690000"
"financial planners - life insurance",0.190002034453836,"#690000"
"comfortable retirement",0.189373032751991,"#690000"
"health concerned- surgery",0.188150779648642,"#690000"
"financial planners - savings accounts",0.188065434445146,"#690000"
"financially astute savers",0.18753326192295,"#690000"
"ralph lauren fans",0.186689244842514,"#690000"
"no fuss holiday fans",0.186400860015622,"#690000"
"prada fans",0.185688339501257,"#690000"
"home-from-home holidayers",0.185579071461378,"#690000"
"patek philippe fans",0.183973178152864,"#690000"
"financial planners- gas prices",0.183964662870499,"#690000"
"young upwardly mobile",0.183632092557777,"#690000"
"on the pulse- pharmaceutical industry",0.181634594771081,"#690000"
"rimowa fans",0.18146338127824,"#690000"
"active day trippers",0.181111042666497,"#690000"
"suv owners",0.181014775529527,"#690000"
"financial planners - health insurance",0.180568130144593,"#690000"
"franck muller fans",0.18046290943435,"#690000"
"breguet fans",0.178592328338963,"#690000"
"audemars piguet fans",0.177098879536758,"#690000"
"armani fans",0.175831334423734,"#690000"
"giorgio armani fans",0.175831334423734,"#8B0000"
"financial planners - financial planning & assistance",0.175669727775502,"#8B0000"
"art collectors",0.174562834753214,"#8B0000"
"financial planners - credit & lending",0.174080554724956,"#8B0000"
"financial planners- financial reform",0.173812420579672,"#8B0000"
"boating aficionados",0.173303311638519,"#8B0000"
"health concerned- brain and nervous system disorders",0.173289502014191,"#8B0000"
"divorcees",0.172644259878271,"#8B0000"
"domestic holidayers",0.172063042827938,"#8B0000"
"daily newspaper readers",0.171582233139794,"#8B0000"
"salvatore ferragamo fans",0.17156228792013,"#8B0000"
"fair trade prioritisers",0.171272361910752,"#8B0000"
"paco rabanne fans",0.170143963778535,"#8B0000"
"financial planners - travel insurance",0.169950040504536,"#8B0000"
"health concerned- heart and cardiovascular diseases",0.168439037425495,"#8B0000"
"research devotees",0.166820747200176,"#8B0000"
"opera fans",0.166489035329833,"#8B0000"
"oscar de la renta fans",0.166260191162059,"#8B0000"
"puzzle hobbyists- crossword puzzles",0.166129248501291,"#8B0000"
"business strategists",0.164241722644484,"#8B0000"
"investment enthusiasts- hedge funds",0.16401325330437,"#8B0000"
"birdwatching buffs",0.162915957668287,"#8B0000"
"financial planners - insurance",0.161870879007295,"#8B0000"
"jazz music fans",0.161574420051036,"#8B0000"
"health concerned- cancer",0.161280134221108,"#8B0000"
"christian dior fans",0.160852990497498,"#8B0000"
"dior fans",0.160852990497498,"#8B0000"
"philanthropists",0.160760979807013,"#8B0000"
"classical music fans",0.159362343139363,"#8B0000"
"tom ford fans",0.159152908030282,"#8B0000"
"public radio supporters",0.158950675979139,"#8B0000"
"bus travellers",0.158840930318196,"#8B0000"
"mountaineering experts",0.158411025555852,"#8B0000"
"on the pulse- environmental services industry",0.15834532499814,"#8B0000"
"anniversary celebrators",0.157957138250899,"#8B0000"
"cribbage players",0.157884115432272,"#8B0000"
"bridge players",0.157631286583604,"#8B0000"
"home upgraders- refrigerators",0.157577106956117,"#8B0000"
"documentary fans",0.157052007782735,"#8B0000"
"organizational gurus",0.156949566805239,"#8B0000"
"financial planners - credit cards",0.15638178573707,"#8B0000"
"training experts",0.15620056252643,"#8B0000"
"duty-free shoppers",0.155849886199781,"#8B0000"
"health concerned- eye and vision conditions",0.155500545214609,"#8B0000"
"health concerned- diabetes",0.154798900368697,"#8B0000"
"health concerned- pharmaceutical drugs",0.154672790482419,"#8B0000"
"snowshoeing enthusiasts",0.153395478511845,"#8B0000"
"history book readers",0.153119539263455,"#8B0000"
"known brand prioritisers",0.1524399219837,"#8B0000"
"on the pulse- legal services industry",0.151834244720871,"#8B0000"
"financial planners - mortgages",0.151567755941256,"#8B0000"
"luxury skin care product prioritisers",0.151543166949373,"#8B0000"
"on the shopping list- wine",0.151332723334293,"#8B0000"
"financial planners - tax software",0.151072359107328,"#8B0000"
"artistic engravers",0.150722005162094,"#8B0000"
"science and nature show fans",0.150708582548624,"#8B0000"
"tiffany & co. fans",0.150548295985824,"#8B0000"
"europe interested",0.150379708766308,"#8B0000"
"home renovators- architecture",0.150100406351245,"#8B0000"
"malta interested",0.149568633514546,"#8B0000"
"on the shopping list- seafood",0.149329991651581,"#8B0000"
"mentoring experts",0.148560934385866,"#8B0000"
"lifelong learners",0.148424824694014,"#8B0000"
"health concerned- medical tests",0.147116721651014,"#8B0000"
"luxury fragrance product prioritisers",0.1468523065743,"#8B0000"
"historical attraction fans",0.146467670406125,"#8B0000"
"investment enthusiasts- mutual funds",0.146342931789355,"#8B0000"
"fendi fans",0.145616739282255,"#8B0000"
"sedan owners",0.144547978601407,"#8B0000"
"art aficionados- learning more",0.143841932941409,"#8B0000"
"intensive research shoppers",0.143808730415763,"#8B0000"
"curling enthusiasts",0.143749527901409,"#8B0000"
"rail travellers",0.142155635935036,"#8B0000"
"book restoration artists",0.14155935520232,"#8B0000"
"sociology thinkers",0.141360285064369,"#8B0000"
"omega fans",0.141162581865939,"#A50F15"
"outdoor adventurers- national parks",0.140913975812203,"#A50F15"
"health concerned- sexual conditions",0.140589830619287,"#A50F15"
"iceboat racing fans",0.140534748393337,"#A50F15"
"radio tuners",0.140505571484123,"#A50F15"
"polo ralph lauren fans",0.140016933631886,"#A50F15"
"news radio followers",0.139045383330649,"#A50F15"
"veteran supporters",0.139013625616947,"#A50F15"
"hermes (fashion) fans",0.13888210707131,"#A50F15"
"strategic thinkers",0.138779928924394,"#A50F15"
"arts and culture show fans",0.138779761234203,"#A50F15"
"missoni fans",0.138757062472204,"#A50F15"
"topiary enthusiasts",0.138687758790013,"#A50F15"
"faith-based show fans",0.138531178592584,"#A50F15"
"buick fans",0.138305764207882,"#A50F15"
"cadillac fans",0.138187663980546,"#A50F15"
"religious devotees",0.13750009342037,"#A50F15"
"word professionals",0.137453315307693,"#A50F15"
"social studies minds",0.136666213490089,"#A50F15"
"home and garden show fans",0.136469149644859,"#A50F15"
"b&b holidayers",0.135979323317059,"#A50F15"
"puzzle hobbyists- sudoku",0.134953659242351,"#A50F15"
"charity fund raisers",0.134832348226053,"#A50F15"
"on the pulse- information services industry",0.134751461425085,"#A50F15"
"tv news fans",0.134580744659657,"#A50F15"
"ethics thinkers",0.134263913002648,"#A50F15"
"clinical medicine scholars",0.133666092673945,"#A50F15"
"chanel fans",0.133625664338175,"#A50F15"
"holiday planners- online reviews",0.133211383849413,"#A50F15"
"on the pulse- management consulting industry",0.133128215785223,"#A50F15"
"on the pulse- aviation industry",0.133083398622817,"#A50F15"
"art aficionados",0.132792787320064,"#A50F15"
"policy makers",0.13209783398327,"#A50F15"
"reviewing outgoings- mobile phone service providers",0.131627819087833,"#A50F15"
"home renovators- remodelling",0.131546539651776,"#A50F15"
"on the pulse- biotech and biomedical industry",0.131449799566894,"#A50F15"
"pickleball players",0.131228940731583,"#A50F15"
"religious devotees- judaism",0.13087925574342,"#A50F15"
"educational radio listeners",0.130772608027183,"#A50F15"
"skills-based training supporters",0.130742892943989,"#A50F15"
"bedroom upgraders- mattresses",0.130719362224814,"#A50F15"
"nordstrom fans",0.13059482898821,"#A50F15"
"ceos",0.130434716422298,"#A50F15"
"ermenegildo zegna fans",0.130080068348962,"#A50F15"
"uk interested",0.130029833220261,"#A50F15"
"photography fans",0.129797284456487,"#A50F15"
"health concerned- lung and respiratory health",0.129670937919235,"#A50F15"
"new car buyers",0.12961657536311,"#A50F15"
"home upgraders- dishwashers",0.129162381930216,"#A50F15"
"business decision makers- web conferencing",0.128886921095637,"#A50F15"
"diving devotees",0.128454434912724,"#A50F15"
"reference readers",0.128409024779378,"#A50F15"
"helsinki interested",0.12774228837508,"#A50F15"
"education science advocates",0.12747639846973,"#A50F15"
"cavalli fans",0.12734085606325,"#A50F15"
"lanvin fans",0.127209333553878,"#A50F15"
"genetics scholars",0.127143593834293,"#A50F15"
"family holidayers",0.126600172067781,"#A50F15"
"home movers- researching",0.12555202946002,"#A50F15"
"safari interested",0.125110035093954,"#A50F15"
"longines fans",0.124940652958223,"#A50F15"
