"id","Size","color"
"car tuning enthusiasts",0.460532653685922,"#690000"
"skateboarding buffs",0.445181657454931,"#690000"
"street style",0.442383133217715,"#690000"
"american cuisine fans",0.4,"#690000"
"mainstream casual dressers- male",0.399117304273849,"#690000"
"shaving",0.397474272612348,"#690000"
"bmx enthusiasts",0.395719124889322,"#690000"
"budget formal dressers- male",0.392953595945394,"#690000"
"performance tuners",0.376039754727991,"#690000"
"mainstream accessory wearers- male",0.373287376317569,"#690000"
"budget dressers- male",0.361188921817265,"#690000"
"freestyle football fans",0.360611136569085,"#690000"
"g-star fans",0.356583245590982,"#690000"
"mainstream underwear buyers- male",0.344285363586901,"#690000"
"paintball players",0.343420172727186,"#690000"
"car fixing & building enthusiasts",0.340951414868926,"#690000"
"budget business dressers- male",0.338374451207656,"#690000"
"budget accessory wearers- male",0.335473109002875,"#690000"
"independent spirits",0.3349251247032,"#690000"
"mainstream dressers- male",0.333026395323223,"#690000"
"mainstream sportswear buyers- male",0.33221133613355,"#690000"
"budget sportswear buyers- male",0.321349447424878,"#690000"
"mainstream shoe buyers- male",0.318115342591383,"#690000"
"budget jewellery buyers- male",0.318021564183009,"#690000"
"bachelor party planners",0.317824127619142,"#690000"
"poker players",0.315507188297741,"#690000"
"adidas fans",0.314245875850539,"#690000"
"budget casual dressers- male",0.313234534265872,"#690000"
"surfing devotees",0.31284666451593,"#690000"
"longboarding lovers",0.311791130006313,"#690000"
"base jumping daredevils",0.309381159625541,"#690000"
"model racing enthusiasts",0.30816202184675,"#690000"
"boots - male fans",0.303895705970549,"#690000"
"puma fans",0.300504050256428,"#690000"
"fitness fans- male running shoes",0.299487692827034,"#690000"
"male deodorant and antiperspirant intenders",0.298463066672283,"#690000"
"laser tag players",0.298448483441483,"#690000"
"aspiring djs- equipment",0.297617104838169,"#690000"
"sports car buyers",0.296117364518337,"#690000"
"fitness fans- bodybuilding",0.293256865410635,"#690000"
"scion fans",0.289680228421811,"#690000"
"budget underwear buyers- male",0.28955638036675,"#690000"
"nightlife fans",0.288632535098609,"#690000"
"adventurous eaters",0.288406678655239,"#690000"
"snowboarding aficionados",0.288354611700762,"#690000"
"breakdance admirers",0.286205613061064,"#690000"
"pc gamers",0.283158857183264,"#690000"
"asian cuisine fans",0.28308523529198,"#690000"
"risk takers",0.282112469306272,"#690000"
"exercise & fitness video gamers",0.281700730791282,"#690000"
"levis fans",0.280463716510558,"#690000"
"on the shopping list- pizza",0.277545811239123,"#690000"
"fitness fans - protein & supplement users",0.277100240247059,"#690000"
"car restoration enthusiasts",0.275830851426662,"#690000"
"keen bbqers",0.273720671676924,"#690000"
"e-sports gamers",0.272967423467669,"#690000"
"on the shopping list- bbq products",0.271949648188274,"#690000"
"mainstream formal dressers- male",0.270965611108212,"#690000"
"car performance upgraders- engines",0.270634274897551,"#690000"
"go players",0.268777768429635,"#690000"
